Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,columnType
Component,"Category of metadata (e.g. Tools, Publications, etc.); provide the same one for all items/rows.",,,TRUE,,,,,,
AccessRequirement,"Representation of a Synapse Access Requirement and its relationships to entities, grants, and projects.",,"Component, AccessRequirement_id, contributorName, contributionDate, usedInProject, dataUseModifiers, collaborationRequired, diseaseSpecificResearch, geographicalRestriction, institutionSpecificRestriction, publicationMoratorium, researchSpecificRestrictions, timeLimitOnUse, userSpecificRestriction, sourceGeography, studyPopulation, deidentificationType, dataPermission, dataTier, license, attribution, grantAnnotationKey, grantAnnotationValue, studyAnnotationKey, studyAnnotationValue, dataTypeKey, dataTypeValue, speciesTypeKey, speciesTypeValue, activatedByAttribute, activationValue, entityIdList, schemaUrl",FALSE,,,AccessRequirement,,,
AccessRequirement_id,A unique identifier for the access requirement. This should be the numeric identifier of the access requirement.,,,TRUE,,AccessRequirement,,,unique,string
contributorName,The name of the person who added this access requirement.,,,TRUE,,AccessRequirement,,,str,string
contributionDate,The date on which the access requirement was added.,,,TRUE,,AccessRequirement,,,str,string
usedInProject,The identifier of the project in which this access requirement is used.,"ADKP, ELITE, HTAN2, MC2, None",,FALSE,,AccessRequirement,,,list like,string
dataUseModifiers,"A list of data use modifiers that apply to the access requirement. Examples include GRU, IRB, etc.","IRB, HMB, PUB, US, NPOA, COL, NCU, NPUNCU, RS, TS, NRES, NPU, DUM, POA, MOR, GSO, RTN, CC, NMDS, IS, GS, DS, GRU, PS, DUOPlus1, DUOPlus2, DUOPlus3, DUOPlus4, DUOPlus5, DUOPlus6, DUOPlus7, Pending Annotation",,FALSE,,AccessRequirement,,,list like,string
collaborationRequired,"If collaboration is required for the access requirement, provide the PI email address.",,,FALSE,,AccessRequirement,,,list like,string
diseaseSpecificResearch,Indicates whether the access requirement is specific to disease-related research.,,,FALSE,,AccessRequirement,,,list like,string
geographicalRestriction,Indicates whether there are geographical restrictions associated with the access requirement.,"AD, AE, AF, AG, AI, AL, AM, AO, AQ, AR, AS, AT, AU, AW, AX, AZ, BA, BB, BD, BE, BF, BG, BH, BI, BJ, BL, BM, BN, BO, BQ, BR, BS, BT, BV, BW, BY, BZ, CA, CC, CD, CF, CG, CH, CI, CK, CL, CM, CN, CO, CR, CU, CV, CW, CX, CY, CZ, DE, DJ, DK, DM, DO, DZ, EC, EE, EG, EH, ER, ES, ET, FI, FJ, FK, FM, FO, FR, GA, GB, GD, GE, GF, GG, GH, GI, GL, GM, GN, GP, GQ, GR, GS, GT, GU, GW, GY, HK, HM, HN, HR, HT, HU, ID, IE, IL, IM, IN, IO, IQ, IR, IS, IT, JE, JM, JO, JP, KE, KG, KH, KI, KM, KN, KP, KR, KW, KY, KZ, LA, LB, LC, LI, LK, LR, LS, LT, LU, LV, LY, MA, MC, MD, ME, MF, MG, MH, MK, ML, MM, MN, MO, MP, MQ, MR, MS, MT, MU, MV, MW, MX, MY, MZ, NA, NC, NE, NF, NG, NI, NL, NO, NP, NR, NU, NZ, OM, PA, PE, PF, PG, PH, PK, PL, PM, PN, PR, PS, PT, PW, PY, QA, RE, RO, RS, RU, RW, SA, SB, SC, SD, SE, SG, SH, SI, SJ, SK, SL, SM, SN, SO, SR, SS, ST, SV, SX, SY, SZ, TC, TD, TF, TG, TH, TJ, TK, TL, TM, TN, TO, TR, TT, TV, TW, TZ, UA, UG, UM, US, UY, UZ, VA, VC, VE, VG, VI, VN, VU, WF, WS, YE, YT, ZA, ZM, ZW",,FALSE,,AccessRequirement,,,list like,string
